questionid,uniquequestionid_initial,uniquequestionid_mid,uniquequestionid_end,response_location_initial,response_location_mid,response_location_end,surveyid_initial,surveyid_mid,surveyid_end,superquestion_wording_initial,superquestion_wording_mid,superquestion_wording_end,question_wording_initial,question_wording_mid,question_wording_end,attribution
ttmsoc_activitiesE_2h,ttmsoc_activitiesE_2h_initial,,,survey_responses,,,primary_facetoface_initial,,,"Sometimes changes in our behaviour can reduce the amount of energy we use at home. The IDEAL project aims to provide information about the energy you use and ideas for convenient ways to reduce energy use. We'd like to know how much you [and your household] have already thought about ways to reduce your energy use. I'm going to read out a list of statements, which are also printed here <b>[Show either card ttmsoc_single or ttmsoc_multiple depending whether the participant lives alone or with others].</b> Could you tell me all of the statements that apply to you? <div>[Note that A and B are exclusive - if they are selected, no other option can be]</div>",,,"E. I/we would like to do more to change my/our behaviour in future to reduce energy use, but don't know how to in a way that fits in with my/our lives",,,No attribution
vacuum_cleaner,vacuum_cleaner,vacuum_cleaner_mid,,other_appliance,survey_responses,,primary_facetoface_initial,primary_web_mid,,Could you tell me how many of each of the following you have in your home? Only include ones that are usually in working condition.<div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div>,"<div>For each of the energy using appliances below, please tick if you:</div>

<ul>
	<li>have had existing ones <b>replaced</b> since the start of the project, or</li>
	<li><b>got or</b> <b>installed additional</b> ones since the start, or </li>
	<li>had any <b>fall out of use</b> (e.g. break but not get repaired or replaced) since the start.</li>
</ul>

<div>(ignore any appliances in the list that haven't changed or that you don't have)</div>",,f. Vacuum cleaner,Vacuum cleaners,,"ARCC-Water Survey, 2011"
washing_machine,,washing_machine_mid,,,survey_responses,,,primary_web_mid,,,"<div>For each of the energy using appliances below, please tick if you:</div>

<ul>
	<li>have had existing ones <b>replaced</b> since the start of the project, or</li>
	<li><b>got or</b> <b>installed additional</b> ones since the start, or </li>
	<li>had any <b>fall out of use</b> (e.g. break but not get repaired or replaced) since the start.</li>
</ul>

<div>(ignore any appliances in the list that haven't changed or that you don't have)</div>",,,"Washing machines, tumble dryers, and combined washing machine-tumble dryers",,"ARCC-Water Survey, 2011"
weeklyhoursofwork,weeklyhoursofwork,weeklyhoursofwork,,person,person,,primary_facetoface_initial,primary_web_mid,,"[N/A] OR In a typical week, how many hours does they each spend in total on paid work, including any paid and unpaid overtime, and self-employment? Please exclude meal breaks.","In a typical week, how many hours do they each spend in total on paid work? (include any paid and unpaid overtime, and self-employment; exclude meal breaks)",,"In a typical week, how many hours do you spend in total on paid work, including any paid and unpaid overtime, and self-employment? Please exclude meal breaks. OR [Person's name]",[Person's name],,No attribution
weeklyhoursofwork_repeat,,weeklyhoursofwork_repeat_mid,weeklyhoursofwork_repeat_end,,survey_responses,survey_responses,,all_inapp_mid,all_web_end,,,,,"In a typical week, how many hours do you spend in total on paid work? (include any paid and unpaid overtime, and self-employment; exclude meal breaks)","<div>In a typical week, how many <b>hours</b> do you spend in total on paid work?</div><div>(include any paid and unpaid overtime, and self-employment; exclude meal breaks)</div>",No attribution
whyparticipate_energyuse_4b,whyparticipate_energyuse_4b_initial,,,survey_responses,,,primary_facetoface_initial,,,"<div>Please tell me how much each of the following motivated you to participate in the study. Please give a number on a scale from 1 to 7, where 1 is not a motivation at all and 7 is a very strong motivation. <b>[Show card whyparticipate]</b></div><div>[Code an answer for each item]</div>",,,a. I would like to find out more about what I/we use energy on in the home,,,No attribution
whyparticipate_env_4b,whyparticipate_env_4b_initial,,,survey_responses,,,primary_facetoface_initial,,,"<div>Please tell me how much each of the following motivated you to participate in the study. Please give a number on a scale from 1 to 7, where 1 is not a motivation at all and 7 is a very strong motivation. <b>[Show card whyparticipate]</b></div><div>[Code an answer for each item]</div>",,,d. I would like help to find ways to reduce energy use to reduce my impact on the environment,,,No attribution
whyparticipate_help_4b,whyparticipate_help_4b_initial,,,survey_responses,,,primary_facetoface_initial,,,"<div>Please tell me how much each of the following motivated you to participate in the study. Please give a number on a scale from 1 to 7, where 1 is not a motivation at all and 7 is a very strong motivation. <b>[Show card whyparticipate]</b></div><div>[Code an answer for each item]</div>",,,f. I wanted to help the research project,,,No attribution
whyparticipate_money_4b,whyparticipate_money_4b_initial,,,survey_responses,,,primary_facetoface_initial,,,"<div>Please tell me how much each of the following motivated you to participate in the study. Please give a number on a scale from 1 to 7, where 1 is not a motivation at all and 7 is a very strong motivation. <b>[Show card whyparticipate]</b></div><div>[Code an answer for each item]</div>",,,c. I would like help to find ways to reduce energy use to save money,,,No attribution
whyparticipate_other_4b,whyparticipate_other_4b_initial,,,survey_responses,,,primary_facetoface_initial,,,"<div>Please tell me how much each of the following motivated you to participate in the study. Please give a number on a scale from 1 to 7, where 1 is not a motivation at all and 7 is a very strong motivation. <b>[Show card whyparticipate]</b></div><div>[Code an answer for each item]</div>",,,i. Other [please enter],,,No attribution
whyparticipate_persuaded_4b,whyparticipate_persuaded_4b_initial,,,survey_responses,,,primary_facetoface_initial,,,"<div>Please tell me how much each of the following motivated you to participate in the study. Please give a number on a scale from 1 to 7, where 1 is not a motivation at all and 7 is a very strong motivation. <b>[Show card whyparticipate]</b></div><div>[Code an answer for each item]</div>",,,h. [NOT SINGLE OCCUPANCY] Someone else in the household persuaded me we should participate,,,No attribution
whyparticipate_tablet_4b,whyparticipate_tablet_4b_initial,,,survey_responses,,,primary_facetoface_initial,,,"<div>Please tell me how much each of the following motivated you to participate in the study. Please give a number on a scale from 1 to 7, where 1 is not a motivation at all and 7 is a very strong motivation. <b>[Show card whyparticipate]</b></div><div>[Code an answer for each item]</div>",,,g. I wanted a tablet computer,,,No attribution
whyparticipate_tech_4b,whyparticipate_tech_4b_initial,,,survey_responses,,,primary_facetoface_initial,,,"<div>Please tell me how much each of the following motivated you to participate in the study. Please give a number on a scale from 1 to 7, where 1 is not a motivation at all and 7 is a very strong motivation. <b>[Show card whyparticipate]</b></div><div>[Code an answer for each item]</div>",,,e. I am curious about this new technology,,,No attribution
whyparticipate_temp_and_humid_4b,whyparticipate_temp_and_humid_4b_initial,,,survey_responses,,,primary_facetoface_initial,,,"<div>Please tell me how much each of the following motivated you to participate in the study. Please give a number on a scale from 1 to 7, where 1 is not a motivation at all and 7 is a very strong motivation. <b>[Show card whyparticipate]</b></div><div>[Code an answer for each item]</div>",,,b. I would like help to find ways to keep my home at a comfortable temperature and humidity ,,,No attribution
wine_cooler,,wine_cooler_mid,,,survey_responses,,,primary_web_mid,,,"<div>For each of the energy using appliances below, please tick if you:</div>

<ul>
	<li>have had existing ones <b>replaced</b> since the start of the project, or</li>
	<li><b>got or</b> <b>installed additional</b> ones since the start, or </li>
	<li>had any <b>fall out of use</b> (e.g. break but not get repaired or replaced) since the start.</li>
</ul>

<div>(ignore any appliances in the list that haven't changed or that you don't have)</div>",,,Wine coolers,,"ARCC-Water Survey, 2011"
workingstatus,workingstatus,workingstatus,,person,person,,primary_facetoface_initial,primary_web_mid,,[N/A] OR What are their main working statuses? Pick the one that they spend most time doing in a typical week. [Show card workstatus_B],What are their main working statuses?(the one they spend most time doing in a typical week)</div>,,What is your main working status? Pick the one that you spend most time doing in a typical week. [Show card workstatus] OR [Person's name],[Person's name],,"ARCC-Water Survey, 2011; Wynford Survey, 2012"
workingstatus_repeat,,workingstatus_repeat_mid,workingstatus_repeat_end,,survey_responses,survey_responses,,all_inapp_mid,all_web_end,,,,,The last two questions are about your working status and patterns. What is your main working status? (the one you spend most time doing in a typical week),<div>What is your <b>main</b> working status? </div><div>(the one you spend most time doing in a typical week)</div>,"ARCC-Water Survey, 2011; Wynford Survey, 2012"
